,LOCATIONID,LOCATIONNAME,MUNICIPALITY,PRICE_SALE,PRICE_RENT,UNITPRICE_SALE,UNITPRICE_RENT,GROSS_YIELD,GROSS_YIELD_MA12,GROSS_YIELD_VOLATILITY,VIEWS_PER_AD_SALE,VIEWS_PER_AD_RENT,LEADS_PER_AD_SALE,LEADS_PER_AD_RENT,NET_HOUSEHOLD_INCOME,EFFORTRATE_SALE,EFFORTRATE_RENT,YEAR,MONTH,Edad media de la población,Población,Porcentaje de población de 65 y más años,Porcentaje de población menor de 18 años,Tamaño medio del hogar
104,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,301122.722782546,1123.55555899289,3223.57891229303,14.3563985349843,5.34427067266258,5.29713990726531,0.0596332300902139,92.737993580408,165.55510561566,1.32463055391213,4.41611879943372,,,,2017,4,43.8,151527.0,18.9,14.5,2.4
105,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,293400.586820899,1014.9619147744,3258.97372956932,13.7926659955915,5.078653762851,5.28477762046204,0.0834946653115706,98.0776212063951,190.80314122448,1.51562281017922,5.52976469531614,,,,2017,5,43.8,151527.0,18.9,14.5,2.4
106,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,289971.883129164,970.772862101375,3288.58196663278,13.7477198028609,5.01652807526792,5.2688049979472,0.110562361931169,98.933053332056,184.571386674024,1.49065528811199,5.60590882683498,34217.5154383402,35.9301710533748,40.3450055684458,2017,6,43.8,151527.0,18.9,14.5,2.4
107,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,294973.904850927,969.32506671201,3342.82218085131,14.1297033999602,5.07225426978415,5.2556412267102,0.123069208856081,94.4054308950782,174.262184727012,1.33947148047457,5.31542422462093,,,,2017,7,43.8,151527.0,18.9,14.5,2.4
108,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,294557.36864283,989.438261299392,3380.00246794603,14.4990361254582,5.1475830315363,5.24109108896452,0.124652993576899,77.4337343129486,166.155087196363,1.11484823434569,6.11720146933114,,,,2017,8,43.8,151527.0,18.9,14.5,2.4
109,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,301523.288292751,1087.66949172406,3430.05615427792,14.6352786925614,5.12013029558429,5.22920922751246,0.128753739260196,109.179646179854,200.159578046325,1.60699919700098,7.4937833368315,32755.2805489228,39.49332616241,43.5004073847489,2017,9,43.8,151527.0,18.9,14.5,2.4
110,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,294953.159316746,1078.04753405947,3470.68010127424,14.3527574375394,4.96251697721257,5.20504247831097,0.147902947424502,121.67685435503,207.508708529433,1.94796916873108,7.16181274575865,,,,2017,10,43.8,151527.0,18.9,14.5,2.4
111,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,296172.929929245,1044.26019864068,3529.50274459404,14.4699690509794,4.91966266006471,5.17089339914266,0.161883053359392,129.290841301559,189.738575080607,2.1682278034911,6.86344392494029,,,,2017,11,43.8,151527.0,18.9,14.5,2.4
112,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,311439.690012139,1055.7496518254,3604.52221153589,14.6726342626358,4.8847420217895,5.13341845620687,0.171453517068146,109.478439036069,141.414101684593,1.64122346426622,4.63212271991427,32861.5299963735,39.9735714585517,43.5450619496044,2017,12,43.8,151527.0,18.9,14.5,2.4
113,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,310490.323035963,949.443176695358,3650.10761771019,14.5978918730192,4.79916541710412,5.0892022697996,0.183137033551739,152.360669788066,206.071786832765,2.74802363611198,7.8865034954366,,,,2018,1,44.0,152562.0,19.1,14.1,2.4
114,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,319782.591906258,953.13048705339,3728.14929851764,14.7821800279202,4.75802190662196,5.04386960455177,0.191963780800338,164.991137239617,198.479654993325,2.8728888859667,7.00475111121424,,,,2018,2,44.0,152562.0,19.1,14.1,2.4
115,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,329693.934008861,953.779916086005,3821.51354362235,14.8871224798182,4.6747307766567,4.98152165559465,0.179849167719734,156.992071266055,182.067718195765,2.78306827682993,5.73384509875137,33960.6712447027,41.2849473179911,42.7507739242464,2018,3,44.0,152562.0,19.1,14.1,2.4
116,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,334336.9738253,960.75454867778,3908.4251361237,14.8866994493921,4.57064897422796,4.9170531807251,0.176895444033923,139.52066667524,153.994884613361,2.49418581345506,5.19252647103111,,,,2018,4,44.0,152562.0,19.1,14.1,2.4
